feature,importance
first_freight,0.1110437476147223
freight_ratio,0.09858005766683571
first_order_value,0.09716162755377881
first_order_total,0.09627402707516179
first_delivery_delta,0.08429998167208469
first_delivery_days,0.07379719815022787
first_payment_inst,0.06844260876406653
first_hour,0.06650397530443924
first_month,0.06206406479178874
first_review_score,0.028612559322760186
category_encoded_bed_bath_table,0.02197425956654493
category_encoded_furniture_decor,0.01626929984370564
category_encoded_sports_leisure,0.011575129235668384
state_encoded_SP,0.01113420492662957
is_late_night_buyer,0.01059670566574193
category_encoded_fashion_bags_accessories,0.009035883972084411
state_encoded_RJ,0.008552471259983874
state_encoded_MG,0.008461463117857553
state_encoded_other,0.007895391764217522
category_encoded_electronics,0.007418250639998999
category_encoded_watches_gifts,0.0073062415716348165
category_encoded_cool_stuff,0.0067101124717992055
is_high_value,0.006627646139037554
category_encoded_other,0.00646160845334224
category_encoded_health_beauty,0.005962812755778984
was_early,0.005959112346859845
state_encoded_RS,0.005895429252620325
category_encoded_computers_accessories,0.005390944400167853
state_encoded_PR,0.005144716180072323
category_encoded_housewares,0.004631298069605961
state_encoded_SC,0.004381495785530547
category_encoded_telephony,0.0043813503304312475
category_encoded_toys,0.003792596274431082
category_encoded_perfumery,0.003261705042952019
category_encoded_baby,0.003098847989128287
category_encoded_garden_tools,0.002936181843137528
was_very_late,0.0028415781643131273
state_encoded_DF,0.0027394615493047296
state_encoded_ES,0.002723057184618819
category_encoded_stationery,0.0025652747266771423
category_encoded_office_furniture,0.002159388085449455
state_encoded_GO,0.00207394541841965
category_encoded_unknown,0.0017650353398475293
category_encoded_pet_shop,0.0014972527165410857
